Unlocode,Parent
AEJEA,AEDXB
AENHD,AEDXB
AOMSZ,AOMOS
ARAEP,ARBUE
ARALL,ARGNR
ATADD,ATNAA
ATARO,ATKMR
ATBDA,ATANR
ATERO,ATKBW
ATERP,ATKFT
ATESN,ATWKI
ATETH,ATHOL
ATFBN,ATGFW
ATFDG,ATLGU
ATFNA,ATVIE
ATGFS,ATSAW
ATGFT,ATATT
ATGRF,ATMUC
ATGSB,ATARB
ATGSB,ATGMA
ATHOG,ATLGW
ATJOC,ATWKD
ATKDT,ATRTZ
ATKIF,ATGWD
ATKIF,ATGWF
ATKOG,ATBKD
ATKRZ,ATKTU
ATKTF,ATKFB
ATKUD,ATERF
ATLLG,ATKAN
ATMDS,ATTRH
ATMLD,ATTSK
ATMOF,ATKIN
ATMSD,ATGRZ
ATMTB,ATBFS
ATMTN,ATMUD
ATNE2,ATTTL
ATNET,ATANS
ATNEU,ATLDO
ATNMN,ATHOM
ATNRF,ATAMS
ATOBH,ATZWT
ATORB,ATLEO
ATORH,ATBRU
ATOWG,ATSTP
ATPIS,ATPGO
ATPRH,ATLAA
ATPST,ATGST
ATPZF,ATNIS
ATRAN,ATSHT
ATRHN,ATBRA
ATROS,ATSJK
ATRSD,ATNAT
ATRWL,ATPBM
ATSBC,ATWLL
ATSGN,ATLGU
ATSJB,ATZAE
ATSYM,ATLKI
ATTBG,ATHEL
ATTBG,ATOBU
ATTRW,ATTSK
ATTYN,ATNAT
ATUFN,ATRRA
ATULB,ATDUE
ATUNG,ATGSD
ATURF,ATLNZ
ATWAN,ATFLT
ATWE3,ATSRB
ATWNO,ATWS6
ATZIP,ATNVC
ATZLF,ATGHH
ATZNG,ATLAG
ATZRF,ATPOY
AU2IC,AUMEL
AU2TO,AUMEL
AU2VC,AUMEL
AU2WS,AUSYD
AU4VC,AUMEL
AU5CO,AUMEL
AU5RC,AUMEL
AU5TO,AUMEL
AU6CO,AUMEL
AU6VC,AUMEL
AU7IC,AUMEL
AU7WW,AUSYD
AU8VC,AUMEL
AUABA,AUMEL
AUACD,AUSYD
AUALB,AUSYD
AUALT,AUMEL
AUALX,AUSYD
AUAMD,AUMEL
AUANN,AUSYD
AUAPT,AUMEL
AUARA,AUSYD
AUARC,AUSYD
AUARL,AUGOC
AUART,AUSYD
AUASQ,AUSYD
AUATK,AUMEL
AUATO,AUMEL
AUAUA,AUPER
AUAUB,AUSYD
AUB2P,AUSYD
AUB3B,AUMEL
AUBA2,AUSYD
AUBBA,AUGOC
AUBBC,AUSYD
AUBBW,AUSYD
AUBE9,AUSYD
AUBEG,AUSYD
AUBEM,AUSYD
AUBGG,AUGOC
AUBIG,AUGOC
AUBIY,AUSYD
AUBJT,AUSYD
AUBKH,AUSYD
AUBKL,AUMEL
